handle,period,num_communities,pct
chriswarkentin,dec,5,0.5
chriswarkentin,y2020,3,0.74
chriswarkentin,_q1,7,0.83
chriswarkentin,_q2,6,0.62
chriswarkentin,_q3,5,0.95
chriswarkentin,_q4,3,0.79
Ccochrane_NWT,feb,4,0.95
Ccochrane_NWT,apr,5,0.47
Ccochrane_NWT,may,5,0.64
Ccochrane_NWT,jun,7,0.66
Ccochrane_NWT,sep,6,0.6
Ccochrane_NWT,oct,4,0.34
Ccochrane_NWT,nov,5,0.63
Ccochrane_NWT,dec,5,0.86
Ccochrane_NWT,y2020,4,0.45
Ccochrane_NWT,_q1,6,0.49
Ccochrane_NWT,_q2,4,0.45
Ccochrane_NWT,_q3,6,0.69
Ccochrane_NWT,_q4,3,0.99
MichaelKramSK,feb,7,0.51
MichaelKramSK,mar,6,0.87
MichaelKramSK,apr,6,0.45
MichaelKramSK,may,6,0.86
MichaelKramSK,jun,8,0.65
MichaelKramSK,jul,9,0.75
MichaelKramSK,aug,7,0.45
MichaelKramSK,sep,7,0.79
MichaelKramSK,oct,6,0.96
MichaelKramSK,nov,6,0.91
MichaelKramSK,dec,5,0.59
MichaelKramSK,y2020,5,0.88
MichaelKramSK,_q1,5,0.36
MichaelKramSK,_q2,6,0.58
MichaelKramSK,_q3,7,0.86
MichaelKramSK,_q4,4,0.94
JeremyPatzerMP,feb,6,0.94
JeremyPatzerMP,mar,8,0.67
JeremyPatzerMP,apr,7,0.5
JeremyPatzerMP,may,5,0.83
JeremyPatzerMP,aug,6,0.47
JeremyPatzerMP,sep,8,0.76
JeremyPatzerMP,oct,7,1
JeremyPatzerMP,dec,7,0.6
JeremyPatzerMP,y2020,5,0.72
JeremyPatzerMP,_q1,7,0.35
JeremyPatzerMP,_q2,5,0.42
JeremyPatzerMP,_q3,5,0.67
JeremyPatzerMP,_q4,6,0.74
BradRedekopp,jan,8,0.97
BradRedekopp,feb,8,0.38
BradRedekopp,mar,7,0.51
BradRedekopp,apr,9,0.45
BradRedekopp,may,8,0.86
BradRedekopp,jun,12,0.57
BradRedekopp,jul,10,0.78
BradRedekopp,aug,9,0.74
BradRedekopp,sep,8,0.35
BradRedekopp,oct,9,0.68
BradRedekopp,nov,10,1
BradRedekopp,dec,9,0.68
BradRedekopp,y2020,4,0.69
BradRedekopp,_q1,6,0.61
BradRedekopp,_q2,7,0.83
BradRedekopp,_q3,5,0.82
BradRedekopp,_q4,7,0.44
GaryAVidal,jan,10,0.92
GaryAVidal,feb,6,0.45
GaryAVidal,mar,7,0.87
GaryAVidal,apr,7,0.86
GaryAVidal,may,5,0.97
GaryAVidal,jun,7,0.61
GaryAVidal,aug,8,0.84
GaryAVidal,sep,7,0.53
GaryAVidal,oct,6,0.7
GaryAVidal,nov,7,0.57
GaryAVidal,dec,5,0.35
GaryAVidal,y2020,4,0.88
GaryAVidal,_q1,7,0.61
GaryAVidal,_q2,5,0.76
GaryAVidal,_q3,5,0.64
GaryAVidal,_q4,5,0.7
cathayw,mar,5,0.86
cathayw,apr,8,1
cathayw,may,6,0.69
cathayw,jun,8,0.95
cathayw,jul,8,0.89
cathayw,aug,7,0.95
cathayw,sep,6,0.6
cathayw,oct,6,0.37
cathayw,nov,4,0.8
cathayw,dec,6,1
cathayw,y2020,5,0.98
cathayw,_q1,5,0.48
cathayw,_q2,6,0.93
cathayw,_q3,5,0.44
cathayw,_q4,4,0.48
KevinWaugh_CPC,jan,7,0.66
KevinWaugh_CPC,feb,6,0.42
KevinWaugh_CPC,mar,10,0.6
KevinWaugh_CPC,apr,11,0.86
KevinWaugh_CPC,may,10,0.94
KevinWaugh_CPC,jun,9,0.86
KevinWaugh_CPC,jul,6,0.39
KevinWaugh_CPC,aug,9,0.68
KevinWaugh_CPC,sep,7,1
KevinWaugh_CPC,oct,9,0.98
KevinWaugh_CPC,nov,10,1
KevinWaugh_CPC,y2020,5,0.85
KevinWaugh_CPC,_q1,5,0.36
KevinWaugh_CPC,_q2,9,0.83
KevinWaugh_CPC,_q3,5,0.95
KevinWaugh_CPC,_q4,8,0.9
MelArnoldMP,apr,5,1
MelArnoldMP,may,6,0.76
MelArnoldMP,jun,9,0.87
MelArnoldMP,jul,6,0.78
MelArnoldMP,aug,7,1
MelArnoldMP,sep,7,0.98
MelArnoldMP,oct,10,1
MelArnoldMP,nov,6,0.96
MelArnoldMP,dec,7,1
MelArnoldMP,y2020,5,0.67
MelArnoldMP,_q1,6,0.51
MelArnoldMP,_q2,5,0.62
MelArnoldMP,_q3,6,0.98
MelArnoldMP,_q4,7,0.88
taylorbachrach,jan,10,1
taylorbachrach,mar,10,0.53
taylorbachrach,apr,9,0.52
taylorbachrach,may,6,0.65
taylorbachrach,jun,9,0.73
taylorbachrach,jul,10,1
taylorbachrach,aug,11,1
taylorbachrach,sep,6,0.99
taylorbachrach,oct,11,0.67
taylorbachrach,nov,10,0.56
taylorbachrach,dec,13,1
taylorbachrach,y2020,4,0.51
taylorbachrach,_q1,13,0.9
taylorbachrach,_q2,5,0.4
taylorbachrach,_q3,6,1
taylorbachrach,_q4,7,0.62
CanningsNDP,feb,8,0.86
CanningsNDP,mar,10,0.89
CanningsNDP,apr,8,0.7
CanningsNDP,may,9,1
CanningsNDP,jun,13,1
CanningsNDP,jul,15,0.76
CanningsNDP,aug,7,0.69
CanningsNDP,sep,8,0.65
CanningsNDP,oct,9,0.74
CanningsNDP,nov,7,0.4
CanningsNDP,dec,15,0.51
CanningsNDP,y2020,4,0.8
CanningsNDP,_q1,8,0.75
CanningsNDP,_q2,6,0.73
CanningsNDP,_q3,5,0.54
CanningsNDP,_q4,6,0.88
RmdKenny,jan,13,1
RmdKenny,feb,8,0.85
RmdKenny,mar,7,0.72
RmdKenny,apr,8,0.71
RmdKenny,may,8,0.62
RmdKenny,jun,8,0.67
RmdKenny,jul,5,0.72
RmdKenny,aug,6,0.55
RmdKenny,sep,6,0.51
RmdKenny,oct,8,0.48
RmdKenny,nov,6,0.7
RmdKenny,dec,7,0.83
RmdKenny,y2020,3,0.79
RmdKenny,_q1,6,0.38
RmdKenny,_q2,5,0.71
RmdKenny,_q3,4,0.65
RmdKenny,_q4,4,0.81
Laurel_BC,jan,6,0.76
Laurel_BC,feb,6,0.61
Laurel_BC,mar,5,0.66
Laurel_BC,apr,5,0.79
Laurel_BC,may,5,0.87
Laurel_BC,jun,6,0.98
Laurel_BC,jul,5,0.39
Laurel_BC,aug,5,0.46
Laurel_BC,sep,5,0.61
Laurel_BC,oct,6,0.61
Laurel_BC,nov,5,0.58
Laurel_BC,dec,6,0.88
Laurel_BC,y2020,4,0.9
Laurel_BC,_q1,4,0.74
Laurel_BC,_q2,4,0.8
Laurel_BC,_q3,4,0.45
Laurel_BC,_q4,5,0.82
MarcDalton,feb,7,0.51
MarcDalton,mar,6,0.4
MarcDalton,apr,9,0.37
MarcDalton,may,9,0.91
MarcDalton,jun,11,0.67
MarcDalton,jul,10,0.74
MarcDalton,aug,10,0.91
MarcDalton,sep,8,0.78
MarcDalton,oct,10,0.57
MarcDalton,nov,9,1
MarcDalton,dec,7,0.76
MarcDalton,y2020,4,0.74
MarcDalton,_q1,6,0.91
MarcDalton,_q2,6,0.92
MarcDalton,_q3,5,0.96
MarcDalton,_q4,6,0.34
DonDavies,jan,7,0.98
DonDavies,feb,5,0.67
DonDavies,mar,5,0.61
DonDavies,apr,3,0.5
DonDavies,may,3,1
DonDavies,jun,5,0.78
DonDavies,jul,6,0.74
DonDavies,aug,13,0.38
DonDavies,sep,7,0.53
DonDavies,oct,5,0.55
DonDavies,nov,5,0.59
